Elevation,Soil_Type32,Horizontal_Distance_To_Roadways,Horizontal_Distance_To_Fire_Points,Cover_Type
3351,0,3813,2271,1
2732,0,1082,912,2
2572,0,957,2191,2
2824,0,3223,6478,2
2529,0,1092,4983,2
2050,0,192,255,3
3004,0,5814,5713,2
3232,0,1342,2270,1
3141,0,240,1354,2
2524,0,630,300,2
2860,0,3961,5433,2
3176,0,4191,3172,1
2712,0,1801,713,5
2918,0,2832,1173,2
2908,1,1932,942,2
2962,0,5622,3768,1
3183,0,4736,2200,2
2781,0,1731,1087,5
2502,0,234,1931,3
2602,0,2370,524,2
3171,0,3108,3648,1
2875,0,2341,2014,2
2738,0,2451,6576,2
3011,0,3242,1159,1
2508,0,725,497,6
3213,0,3122,1878,1
2937,0,745,2012,1
3019,0,2131,779,2
3238,0,1772,2571,1
3067,0,6673,2936,2
3206,0,685,2527,1
2997,0,1092,417,2
2569,0,366,2308,2
2110,0,201,552,3
3018,0,4176,2465,1
3070,1,1624,1113,2
2822,0,1871,1712,2
3064,0,6756,3097,2
2886,0,5085,4241,2
3139,0,5664,900,1
2923,1,1838,2318,2
3357,0,3522,1599,1
3217,0,3426,2391,1
3072,0,1663,474,2
3149,0,3301,1036,2
3017,0,2336,1082,1
2775,0,1123,997,2
2945,0,5758,3602,2
3422,0,977,1452,7
2692,0,981,1415,2
3171,0,3236,2474,1
2843,0,150,1179,2
2605,0,1978,2148,6
3015,1,2845,1650,2
3373,0,607,1020,1
3020,0,3314,1401,1
3408,0,1410,1648,7
2607,0,947,612,2
2933,0,3740,1370,2
2885,0,1891,1153,2
3057,0,283,1434,2
3060,0,2355,2010,1
3177,0,3158,2588,1
2963,0,2903,1515,2
2547,0,780,212,2
2999,0,2881,1594,2
2812,0,2620,1959,3
3037,0,6045,1698,2
2963,0,1328,2118,2
3341,0,1032,646,1
2865,0,2402,1501,5
3238,0,3302,2139,1
3322,0,3714,2420,2
2518,0,1052,1072,3
2955,1,1126,2206,1
2468,0,860,830,3
2721,0,1481,2200,2
3000,0,4264,1207,1
3136,0,2423,1401,1
2706,0,1746,2381,2
2653,0,1374,957,2
3221,0,1091,2046,1
2605,0,2764,2074,2
3293,0,3459,2636,2
3112,0,2402,1216,2
3108,0,3482,1073,1
3108,0,3791,3035,1
2552,0,1513,1415,3
2853,0,134,1328,1
2844,0,560,474,2
3014,0,3266,1071,1
2895,0,277,872,1
2991,0,883,1622,2
3259,0,743,5734,1
2060,0,256,532,3
2375,0,1423,516,3
3249,0,6241,1806,2
2880,0,3042,2047,2
3199,0,5796,1800,1
3098,0,984,1465,1
2483,0,525,1430,6
2439,0,484,1401,6
2808,0,2624,2734,2
3036,1,3161,600,2
3188,0,4026,4060,1
2920,0,1243,745,2
2874,0,1922,1256,5
2049,0,480,552,4
2267,0,1198,741,6
3237,0,3066,787,1
3081,0,342,780,2
3192,0,1964,1678,1
3003,0,4311,845,2
3284,0,1040,1008,1
3100,0,1045,927,1
3139,0,3756,1463,1
2398,0,1230,994,3
3173,0,955,2219,1
3105,1,2164,702,2
2144,0,382,361,3
3274,0,499,914,1
3010,0,1436,1979,1
3218,0,3548,3098,1
3182,0,3919,1468,1
2678,0,1513,5502,2
3075,1,2955,1706,2
2980,0,5615,2192,1
3156,0,1036,999,1
3208,0,342,1077,1
3288,0,1521,3391,2
3132,0,3092,5181,1
2886,0,4018,5807,2
3014,0,1405,2646,2
3012,0,4824,1572,2
2883,0,618,1825,5
3043,0,1124,2099,1
2952,0,5713,1664,1
3453,0,892,1020,1
2888,0,1019,1860,2
2637,0,2365,2493,6
3241,0,3279,3088,1
3032,0,2501,1495,2
2844,0,2717,2630,2
2293,0,1310,931,3
3306,0,4060,1263,1
2883,0,201,1452,1
3357,1,1261,2112,1
2860,0,1320,1092,2
3037,1,95,1290,2
2717,0,1084,1890,2
3268,0,5550,1565,1
3432,0,866,192,7
3092,0,6117,1611,2
2997,0,5356,938,2
3077,0,899,1983,1
3156,0,3114,1544,1
2968,0,1902,1466,2
2978,0,6057,5113,2
3333,0,1616,3263,1
2841,0,2254,967,2
2971,0,2268,600,1
2372,0,402,1716,3
3161,0,1902,700,1
2624,0,983,558,2
2568,0,592,2014,2
2724,0,2372,4468,2
2890,0,3842,5679,2
3113,0,3988,3038,2
3002,0,3027,750,2
2878,0,1179,768,2
3303,1,1638,3185,2
3065,0,3473,658,1
3173,0,2730,1045,2
3118,0,750,1944,1
3295,0,1597,4961,1
3170,1,277,2164,1
3136,0,5273,1073,1
2743,0,891,1128,2
3056,0,4228,1233,2
2790,0,446,824,2
2923,0,1276,3187,1
3164,0,1920,3092,2
3242,0,1054,1173,2
2953,0,1643,2402,2
2727,0,1471,1020,2
3202,0,5968,1530,2
3270,0,4227,1608,1
2938,0,815,1809,2
2986,1,2160,2496,2
3526,0,2794,1708,1
3064,0,3097,5990,1
3130,0,3662,1226,1
3008,0,1387,470,2
3114,0,216,1329,2
3309,0,1442,3054,1
2536,0,300,890,3
2335,0,768,604,3
3055,0,2516,2738,2
3010,0,218,1044,1
3206,0,451,1951,1
2972,0,2356,1860,2
3398,0,1355,1650,7
2948,0,2253,800,1
2909,0,2067,2160,1
2980,0,666,607,1
3271,0,4207,1635,1
3109,0,5476,1622,2
3004,0,6133,5034,2
2909,0,5338,5095,2
2505,0,1595,474,3
3262,0,3568,2356,2
2919,0,4689,1852,5
2036,0,342,537,3
2092,0,430,604,3
3108,1,2017,2474,2
3173,0,469,1273,1
2779,0,2239,1290,5
2974,0,488,966,1
3062,0,3690,210,2
2952,0,700,1982,2
2131,0,579,659,3
2837,0,3941,2912,1
3008,0,1465,2233,2
2886,0,4332,5973,2
2334,0,1253,932,3
2734,0,2192,6153,2
3276,0,870,2510,2
2998,0,2944,2148,2
3270,0,4176,2738,1
3047,0,5658,4025,1
2892,1,1077,531,2
2796,0,2138,1298,5
3283,0,3180,2168,1
2932,0,600,1072,1
3168,0,4426,3180,1
2742,0,1406,760,2
3030,0,1414,949,2
3015,0,1879,3818,1
3164,0,624,5026,2
3102,1,2413,2173,2
3134,0,1966,485,1
2902,0,1879,1026,1
2665,0,1350,5863,2
2827,0,2611,2415,1
2998,0,256,765,1
2664,0,1879,1914,6
2735,0,1929,3692,2
3008,0,2809,6475,1
2848,0,2110,1565,2
3399,0,2737,2230,7
2968,0,2280,2269,2
3104,0,1592,2942,1
2250,0,404,984,3
2615,0,680,1451,5
3036,0,1738,1365,1
3126,0,4178,1959,2
2139,0,495,234,3
2895,0,3474,1398,2
2997,0,2072,1057,2
3021,0,2423,1793,1
2764,0,1935,2581,2
2879,0,3540,3591,2
3150,0,2442,1939,1
3027,0,4106,2176,2
2912,0,1221,1875,2
2881,0,2710,3377,2
2999,0,3085,787,2
3245,0,5967,1003,1
3235,0,2024,3435,1
2933,0,2257,360,2
3165,1,2063,752,1
2684,0,1831,5301,2
3191,0,2534,1342,1
3047,0,3113,446,1
2796,0,854,840,2
2375,0,1489,834,6
3064,0,3397,5383,1
2535,0,342,1020,3
2828,0,1150,1385,2
3270,0,962,2148,7
3010,1,2163,2458,1
3093,0,1237,2053,1
2796,0,3127,2969,2
3033,1,1290,2067,2
3155,0,1350,1797,1
2679,0,1440,685,2
2993,0,1422,1630,2
3057,0,1744,2513,2
3259,0,3112,2051,7
3323,1,3722,1682,1
3171,0,782,1698,1
3241,1,4279,553,1
2932,0,2876,430,1
3180,0,1597,2410,1
2709,0,1154,2012,2
2949,0,4524,4002,2
2743,1,2609,1507,5
2693,0,1410,636,2
3308,0,3522,2611,2
2909,0,4650,5028,2
3205,0,1922,735,1
2325,0,297,1265,6
3145,0,5922,1865,2
3192,0,1492,2594,1
2853,0,1358,1425,1
2726,0,1473,2473,2
3411,0,3005,902,7
3215,0,2787,1073,1
3017,1,2971,834,2
2364,0,175,1678,3
2738,0,2097,1454,2
3088,0,781,886,2
2729,0,1557,3169,2
2672,0,531,1434,2
3169,1,1008,1374,2
2617,0,1872,2089,6
3039,0,3027,488,1
2847,0,330,2547,5
2977,0,3823,2628,2
2830,0,384,234,2
3020,1,1222,1931,1
2292,0,960,1231,6
3119,0,3408,3078,2
2855,0,2522,1935,2
3231,0,3895,2343,1
3033,0,2195,2337,1
3187,0,1182,700,1
3216,0,514,1984,1
3234,0,2821,2977,2
2952,0,5726,3976,2
3196,0,524,2220,2
3178,0,819,690,7
2340,0,819,618,3
2206,0,576,738,3
2764,0,1822,872,2
3256,0,1167,2805,1
3172,1,2860,872,2
2879,0,1276,2658,2
2723,0,1374,2888,2
2377,0,1366,553,3
2956,0,1758,1831,2
2786,1,2605,2032,2
3112,0,2440,1194,1
3014,0,4194,957,2
2837,0,5370,4727,1
3114,0,1956,1339,1
2792,0,2563,3852,2
3007,0,2698,834,1
3325,0,2647,571,7
2745,0,1805,1530,2
3121,0,2164,1959,1
2317,0,598,518,3
2165,0,799,649,3
2823,0,1931,1973,5
2954,1,1572,2326,2
2905,1,2175,769,2
2831,0,3952,5573,1
2588,0,1489,2095,3
2483,0,457,969,3
2938,1,592,934,2
2962,0,4803,5421,2
3106,0,1900,3275,1
2612,0,1476,1124,2
3146,0,6034,1350,2
2730,0,1358,849,2
2725,0,2375,4900,2
2809,0,725,811,2
2617,0,1230,190,2
3036,0,1209,2848,1
3017,0,911,741,2
3132,0,3265,1084,2
2933,0,1476,1500,1
2902,0,3728,3866,2
3103,0,6805,2655,2
3026,0,4840,1450,1
2981,0,1921,1492,2
2873,0,2557,2567,1
3368,0,874,564,1
2978,0,1366,1594,2
3016,0,5366,582,2
2931,0,3262,2069,2
3283,0,1728,3121,1
2996,1,1416,1879,2
3146,0,2906,3447,1
2322,0,1235,902,3
3285,1,1027,691,1
2486,0,1914,210,3
2702,0,1756,962,2
2949,0,4702,2325,2
2614,0,1991,2215,2
2443,0,1045,1130,6
3010,0,4313,825,2
2026,0,134,228,3
3151,0,1087,1269,2
2900,1,1873,1200,2
3332,0,3388,2331,1
2827,0,2609,2627,2
2624,0,755,2647,2
1983,0,240,907,6
3074,0,3222,2342,1
2796,0,2046,1570,2
3011,0,5647,2032,1
2884,1,3334,1978,2
3087,0,4901,1074,2
2656,0,85,865,2
3298,0,1307,2479,2
3147,0,2024,2843,1
2785,0,2301,1142,2
2870,1,3180,1256,2
3529,0,1460,1022,7
3087,1,2746,1940,2
3033,0,2940,1061,2
2554,0,2163,1989,5
3171,0,1114,558,1
2706,0,1818,1113,2
3204,0,4087,2030,1
3154,0,1044,1702,1
3145,0,2791,1168,2
3109,0,7078,2482,2
3047,0,3801,2610,2
3240,0,1549,466,1
3309,0,4004,2341,7
3279,1,1510,2697,1
2663,0,604,1471,2
3011,0,5885,3290,2
3194,0,5105,2054,1
2367,0,212,234,6
3113,0,1026,1691,2
3106,0,3212,1637,2
2865,0,2197,1342,1
3138,0,5622,752,1
3004,0,5612,2913,2
2979,0,4014,1890,2
2934,1,1359,1008,2
2233,0,760,1024,6
2922,0,5792,5774,2
2950,0,3089,2135,2
2772,0,2143,830,5
3172,1,3069,2631,1
2373,0,742,1150,6
3046,0,743,1451,2
3255,0,908,1679,1
3360,0,3925,2436,2
3008,0,2059,2919,1
2606,0,1003,979,2
2888,0,1798,1084,1
3044,0,2910,1683,1
2275,0,1725,938,6
3319,0,3271,1756,1
3309,0,3504,2305,1
3137,1,511,1529,1
2602,0,2215,350,3
3276,0,2877,2498,1
3136,0,1604,551,1
3014,0,6500,3591,1
3110,0,2400,1140,2
2985,0,4895,2942,2
3391,0,2971,2242,1
2431,0,1020,42,6
3020,0,4712,702,2
2725,0,960,918,2
2955,0,3495,6442,2
2933,0,3580,2684,2
2941,1,1061,2213,2
2872,0,3558,3173,2
3119,0,2744,2105,2
3004,0,1554,1871,2
3112,0,2572,1266,1
3064,0,2814,1181,2
2525,0,540,537,2
3240,0,3600,1747,1
2985,0,3586,5468,2
2624,0,2259,1924,2
2949,0,3529,5989,2
2315,0,994,1027,6
3296,0,1355,2040,1
2728,0,1917,2697,2
